mariana@fedora:~$ ps -eo pid,ppid,stat,ni,pri,psr,pcpu,pmem,nlwp,comm --sort=-pcpu
    PID    PPID STAT  NI PRI PSR %CPU %MEM NLWP COMMAND
    126       2 I<   -20  39   7  0.0  0.0    1 kworker/R-scsi_tmf_0
    127       2 S      0  19   7  0.0  0.0    1 scsi_eh_1
    128       2 I<   -20  39   7  0.0  0.0    1 kworker/R-scsi_tmf_1
    129       2 S      0  19  10  0.0  0.0    1 scsi_eh_2
    130       2 I<   -20  39   7  0.0  0.0    1 kworker/R-scsi_tmf_2
    131       2 S      0  19  11  0.0  0.0    1 scsi_eh_3
    132       2 I<   -20  39   7  0.0  0.0    1 kworker/R-scsi_tmf_3
    133       2 S      0  19   1  0.0  0.0    1 scsi_eh_4
    134       2 I<   -20  39   7  0.0  0.0    1 kworker/R-scsi_tmf_4
    135       2 S      0  19  11  0.0  0.0    1 scsi_eh_5
    136       2 I<   -20  39   7  0.0  0.0    1 kworker/R-scsi_tmf_5
    143       2 I<   -20  39   7  0.0  0.0    1 kworker/R-dm_bufio_cache
    144       2 I<   -20  39   1  0.0  0.0    1 kworker/R-mld
    145       2 I<   -20  39   4  0.0  0.0    1 kworker/R-ipv6_addrconf
    146       2 I<   -20  39   5  0.0  0.0    1 kworker/R-kstrp
    147       2 I      0  19   3  0.0  0.0    1 kworker/3:1-events
    313       2 I      0  19  11  0.0  0.0    1 kworker/11:2-events
    457       2 I<   -20  39  10  0.0  0.0    1 kworker/R-nvme-wq
    458       2 I<   -20  39   3  0.0  0.0    1 kworker/R-nvme-reset-wq
    459       2 I<   -20  39   8  0.0  0.0    1 kworker/R-nvme-delete-wq
    460       2 I<   -20  39  11  0.0  0.0    1 kworker/R-nvme-auth-wq
    467       2 I<   -20  39  10  0.0  0.0    1 kworker/R-amdgpu-reset-dev
    468       2 I<   -20  39  11  0.0  0.0    1 kworker/R-ttm
    469       2 I<   -20  39   6  0.0  0.0    1 kworker/R-amdgpu_dm_hpd_rx_offload_wq
    470       2 I<   -20  39  11  0.0  0.0    1 kworker/R-amdgpu_dm_hpd_rx_offload_wq
    471       2 I<   -20  39  11  0.0  0.0    1 kworker/R-amdgpu_dm_hpd_rx_offload_wq
    472       2 I<   -20  39  11  0.0  0.0    1 kworker/R-dm_vblank_control_workqueue
    473       2 S      -  90   4  0.0  0.0    1 card1-crtc0
    474       2 S      -  90   9  0.0  0.0    1 card1-crtc1
    475       2 S      -  90   9  0.0  0.0    1 card1-crtc2
    476       2 S      -  90   9  0.0  0.0    1 card1-crtc3
    477       2 I<   -20  39   9  0.0  0.0    1 kworker/R-gfx
    478       2 I<   -20  39   9  0.0  0.0    1 kworker/R-comp_1.0.0
    479       2 I<   -20  39   9  0.0  0.0    1 kworker/R-comp_1.1.0
    480       2 I<   -20  39   9  0.0  0.0    1 kworker/R-comp_1.2.0
    481       2 I<   -20  39   9  0.0  0.0    1 kworker/R-comp_1.3.0
    482       2 I<   -20  39   9  0.0  0.0    1 kworker/R-comp_1.0.1
    483       2 I<   -20  39   9  0.0  0.0    1 kworker/R-comp_1.1.1
    484       2 I<   -20  39   9  0.0  0.0    1 kworker/R-comp_1.2.1
    485       2 I<   -20  39   9  0.0  0.0    1 kworker/R-comp_1.3.1
    486       2 I<   -20  39   9  0.0  0.0    1 kworker/R-sdma0
    487       2 I<   -20  39   1  0.0  0.0    1 kworker/R-vcn_dec
    488       2 I<   -20  39   9  0.0  0.0    1 kworker/R-vcn_enc0
    489       2 I<   -20  39   9  0.0  0.0    1 kworker/R-vcn_enc1
    490       2 I<   -20  39   9  0.0  0.0    1 kworker/R-jpeg_dec
    504       2 I<   -20  39   5  0.0  0.0    1 kworker/R-btrfs-worker
    505       2 I<   -20  39   4  0.0  0.0    1 kworker/R-btrfs-delalloc
    506       2 I<   -20  39   1  0.0  0.0    1 kworker/R-btrfs-flush_delalloc
    507       2 I<   -20  39   4  0.0  0.0    1 kworker/R-btrfs-cache
    508       2 I<   -20  39   5  0.0  0.0    1 kworker/R-btrfs-fixup
    509       2 I<   -20  39   1  0.0  0.0    1 kworker/R-btrfs-endio
    510       2 I<   -20  39   1  0.0  0.0    1 kworker/R-btrfs-endio-meta
    511       2 I<   -20  39   1  0.0  0.0    1 kworker/R-btrfs-rmw
    512       2 I<   -20  39   1  0.0  0.0    1 kworker/R-btrfs-endio-write
    513       2 I<   -20  39   1  0.0  0.0    1 kworker/R-btrfs-freespace-write
    514       2 I<   -20  39   1  0.0  0.0    1 kworker/R-btrfs-delayed-meta
    515       2 I<   -20  39   1  0.0  0.0    1 kworker/R-btrfs-qgroup-rescan
    516       2 S      0  19   4  0.0  0.0    1 btrfs-cleaner
    600       2 S      -  41  11  0.0  0.0    1 psimon
    639       2 I      0  19   6  0.0  0.0    1 kworker/6:2-events
    652       2 S      -  41  10  0.0  0.0    1 psimon
    752       2 S      0  19   8  0.0  0.0    1 jbd2/nvme0n1p2-8
    753       2 I<   -20  39   8  0.0  0.0    1 kworker/R-ext4-rsv-conversion
